grasp_index,success_rate
1,0.64
3,0.72
6,1.0
7,0.94
16,0.74
20,1.0
35,0.7
45,0.56
51,0.76
53,0.26
55,0.78
58,0.98
68,0.74
69,0.9
73,0.62
74,1.0
82,0.98
83,0.22
84,1.0
87,0.88
89,0.58
96,1.0
103,0.56
118,0.52
126,0.58
128,0.82
141,0.7
147,0.52
149,0.56
150,0.24
157,0.88
174,0.94
190,0.8
202,0.88
213,0.78
216,0.98
218,0.84
224,0.8
226,0.94
228,0.98
232,0.66
235,0.82
241,0.8
254,0.64
271,0.92
285,0.78
286,0.5
296,0.8
305,1.0
306,0.84
307,0.66
325,0.5
329,0.64
357,0.56
366,0.84
373,0.82
387,0.84
391,0.46
397,0.12
400,0.84
401,0.78
410,1.0
411,0.8
415,0.6
423,0.54
431,0.96
450,0.66
461,0.76
463,0.92
469,0.44
478,0.9
487,0.82
505,0.74
510,0.62
514,0.56
522,0.64
541,0.56
542,0.86
544,0.88
549,1.0
569,0.56
593,0.76
594,0.78
601,0.88
605,0.94
616,0.8
620,0.84
632,1.0
635,1.0
638,0.92
639,0.04
651,0.9
656,0.54
671,0.64
673,1.0
679,0.6
686,0.9
689,0.76
691,0.58
715,0.82
716,0.82
718,0.96
732,0.48
736,0.9
745,0.52
746,0.36
747,1.0
751,0.6
761,0.86
766,0.8
772,0.76
780,0.92
783,0.66
791,0.92
812,0.68
816,0.96
826,0.7
831,0.96
836,0.76
840,0.86
843,0.84
847,1.0
848,1.0
878,0.82
883,0.76
901,1.0
902,0.94
903,0.96
911,0.9
923,0.76
942,0.96
944,1.0
947,0.92
951,0.8
959,0.78
961,1.0
966,0.88
967,0.94
976,0.92
977,0.98
984,0.44
986,0.84
987,0.86
1001,0.94
1002,0.9
1006,0.62
1013,0.98
1015,0.82
1021,0.94
1029,0.78
1037,0.42
1038,0.48
1043,0.96
1047,0.84
1049,1.0
1063,0.3
1073,1.0
1075,0.98
1083,0.64
1087,0.98
1096,1.0
1102,0.7
1104,0.92
1105,0.68
1119,0.98
1124,0.68
1133,0.86
1142,0.48
1143,0.64
1144,0.92
1148,0.88
1151,0.72
1152,0.46
1153,0.98
1161,0.88
1166,0.98
1168,0.86
1174,0.92
1178,0.64
1188,0.7
1211,0.64
1222,0.88
1240,1.0
1250,1.0
1260,0.48
1264,0.98
1270,0.42
1271,0.92
1284,0.78
1292,0.62
1293,0.8
1308,0.64
1321,0.9
1326,0.66
1342,0.52
1343,0.86
1345,0.9
1352,1.0
1356,0.68
1365,0.42
1369,0.76
1380,0.46
1395,0.96
1398,0.64
1404,1.0
1414,0.88
1418,0.72
1435,0.92
1455,0.98
1459,0.58
1461,1.0
1465,0.92
1468,0.98
1491,0.94
1497,0.74
1502,0.96
1504,0.92
1505,0.96
1508,0.96
1513,0.74
1542,0.4
1549,0.82
1550,0.68
1553,0.9
1558,0.86
1559,1.0
1564,0.5
1567,0.64
1572,0.92
1574,0.42
1595,0.48
1620,0.92
1639,0.54
1640,1.0
1672,0.56
1679,0.98
1685,0.86
1698,0.98
1714,0.6
1719,1.0
1729,0.96
1734,0.9
1751,0.4
1752,0.7
1760,0.5
1779,0.94
1785,0.88
1789,0.92
1825,0.76
1828,0.96
1837,0.98
1852,1.0
1854,0.9
1859,0.96
1862,0.6
1863,0.74
1864,0.78
1866,1.0
1868,0.98
1876,0.58
1889,1.0
1898,0.92
1911,0.98
1935,0.94
1944,0.82
1960,1.0
1975,0.96
1984,0.52
1992,0.58
1993,0.54
1997,0.96
2000,1.0
2001,0.72
2006,0.74
2010,0.6
2014,0.7
2015,0.68
2020,0.8
2031,0.7
2037,0.68
2044,0.96
2050,0.98
2054,1.0
2062,0.68
2063,0.8
2081,0.6
2090,0.96
2106,0.16
2113,0.82
2133,0.5
2141,0.9
2172,0.86
2183,0.78
2187,0.74
2194,0.82
2196,0.68
2208,0.9
2212,1.0
2218,0.72
2223,0.68
2264,0.92
2268,0.54
2269,0.64
2272,1.0
2273,0.76
2278,0.86
2284,0.94
2297,0.6
2314,0.18
2331,0.86
2344,0.8
2373,0.92
2380,0.9
2388,0.7
2389,0.88
2392,0.64
2396,0.54
2400,0.66
2423,0.92
2436,0.68
2439,0.86
2444,0.84
2449,0.56
2456,0.88
2461,0.74
2474,0.7
2477,0.98
2497,0.66
2499,1.0
2500,1.0
2506,0.7
2507,0.96
2513,0.98
2524,0.42
2526,0.66
2538,0.38
2547,0.86
2557,0.86
2559,0.9
2570,0.96
2571,0.78
2593,0.88
2598,0.88
2602,0.94
2623,1.0
2624,0.86
2642,0.82
2644,0.98
2668,0.94
2700,0.96
2717,0.44
2722,0.98
2725,0.8
2727,0.68
2737,0.74
2752,0.9
2758,1.0
2764,0.96
2791,0.9
2792,0.54
2796,0.64
2798,0.74
2800,1.0
2810,0.98
2819,0.88
2825,0.46
2827,1.0
2833,1.0
2834,0.9
2851,0.84
2859,0.56
2869,0.88
2872,0.98
2877,0.9
2880,0.96
2884,0.82
2894,0.88
2901,0.96
2904,0.96
2920,0.72
2938,1.0
2940,1.0
2942,0.88
2948,0.92
2954,0.58
2960,0.94
2967,0.58
2978,1.0
2994,0.76
2996,0.76
2998,1.0
3004,0.94
3007,0.78
3008,0.88
3011,0.74
3020,0.8
3021,0.86
3022,0.9
3023,0.58
3029,0.52
3033,0.96
3038,0.78
3040,0.94
3042,0.92
3056,0.9
3060,0.66
3061,0.9
3064,0.26
3067,0.7
3068,0.98
3069,1.0
3074,0.68
3079,0.82
3083,1.0
3089,0.98
3091,0.78
3094,0.68
3097,0.68
3100,1.0
3110,0.76
3116,0.98
3122,0.98
3126,0.52
3157,0.8
3162,0.74
3167,0.74
3192,0.98
3202,0.82
3203,0.22
3205,0.26
3206,0.34
3218,0.94
3221,0.92
3224,0.86
3230,0.88
3232,0.86
3246,0.76
3247,0.74
3259,0.98
3261,0.88
3266,0.9
3287,0.7
3300,0.5
3301,0.86
3318,0.9
3320,0.6
3325,0.94
3349,0.78
3351,0.46
3355,0.28
3394,0.96
3402,0.88
3403,0.88
3409,0.98
3412,0.66
3426,0.98
3438,0.94
3440,0.64
3461,0.84
3462,0.88
3464,0.7
3469,0.9
3483,0.94
3489,0.82
3500,0.76
3507,0.74
3517,0.94
3518,0.86
3521,0.96
3522,0.42
3525,0.52
3530,0.88
3532,0.96
3536,0.72
3541,0.86
3544,0.76
3557,0.94
3560,1.0
3580,0.9
3593,1.0
3599,0.82
3602,1.0
3606,1.0
3618,1.0
3627,0.82
3630,0.4
3631,0.88
3640,0.92
3649,0.64
3651,0.26
3657,0.92
3662,0.58
3665,0.58
3668,0.98
3676,0.78
3681,0.88
3684,1.0
3686,0.34
3694,0.86
3705,0.72
3709,0.6
3722,0.64
3731,0.6
3734,0.42
3742,0.54
3753,0.96
3761,0.52
3765,0.5
3771,1.0
3774,0.3
3775,0.94
3789,0.74
3793,0.82
3799,0.52
3800,0.94
3805,0.9
3820,1.0
3829,0.96
3830,0.96
3846,0.64
3848,0.98
3855,0.62
3858,0.16
3870,0.82
3879,0.86
3883,1.0
3885,0.82
3897,0.94
3900,0.8
3906,0.9
3912,0.84
3921,0.88
3929,0.5
3936,0.14
3943,0.3
3946,0.96
3951,0.76
3962,0.94
3966,0.5
3967,0.54
3969,0.82
3972,0.78
3987,0.72
3988,0.68
3997,0.92
4001,0.92
4004,0.7
4005,1.0
4011,0.32
4012,0.34
4023,0.8
4026,0.78
4030,0.32
4034,0.24
4040,0.82
4046,0.44
4047,0.7
4050,0.92
4055,0.58
4058,0.96
4062,0.96
4067,1.0
4080,0.98
4088,0.26
4090,0.96
4112,1.0
4127,0.42
4128,0.68
4129,0.62
4141,0.98
4146,0.68
4152,0.72
4157,0.78
4167,0.92
4174,0.8
4184,0.98
4185,0.86
4188,0.94
4192,0.92
4194,0.86
4201,0.96
4207,0.36
4210,0.94
4217,0.44
4228,0.8
4235,0.38
4265,0.96
4272,0.46
4286,1.0
4289,1.0
4299,0.88
4306,0.66
4308,0.94
4312,1.0
4320,0.86
4322,0.66
4330,0.98
4355,0.48
4356,0.76
4357,1.0
4362,0.64
4367,0.86
4370,0.28
4400,0.48
4402,0.72
4403,0.34
4407,0.82
4413,0.76
4414,0.82
4432,0.88
4446,0.82
4447,0.56
4450,0.66
4457,0.78
4459,0.94
4460,0.6
4463,0.24
4477,0.66
4478,0.78
4481,0.94
4482,0.7
4483,0.86
4492,0.42
4495,0.9
4509,0.96
4517,0.88
4518,0.88
4520,0.9
4524,0.56
4529,0.48
4533,0.8
4562,0.32
4566,0.54
4568,0.36
4571,1.0
4581,0.84
4587,0.46
4591,0.44
4598,1.0
4601,0.56
4603,0.74
4608,0.8
4609,0.8
4614,0.96
4623,0.52
4627,0.3
4641,0.94
4665,0.86
4668,0.56
4669,0.86
4687,0.78
4688,0.46
4694,0.88
4697,1.0
4703,0.72
4712,0.9
4717,0.56
4721,0.98
4724,0.32
4725,0.72
4726,0.76
4729,0.98
4733,0.78
4741,0.68
4743,0.98
4744,0.98
4747,1.0
4750,1.0
4757,0.64
4761,0.94
4762,0.86
4769,0.8
4774,1.0
4779,0.36
4780,1.0
4786,0.92
4789,0.88
4795,0.82
4800,1.0
4801,0.38
4804,0.88
4808,0.7
4814,1.0
4820,0.86
4825,0.78
4829,0.94
4839,0.72
4840,0.98
4844,0.66
4849,0.96
4852,0.92
4853,0.98
4865,0.78
4869,0.36
4871,0.76
4879,0.62
4882,0.52
4891,1.0
4894,0.98
4898,0.94
4904,0.56
4914,0.98
4921,0.9
4924,0.14
4933,0.96
4935,0.56
4936,1.0
4940,0.66
4952,1.0
4954,0.72
4957,0.8
4969,0.64
4970,0.68
4977,0.5
4995,0.58
4996,0.16
4997,0.32
4998,0.82
4999,0.14
