grasp_index,success_rate
23,0.78
30,0.88
99,0.62
132,0.98
139,0.96
149,0.96
157,0.82
163,1.0
174,0.92
206,1.0
210,0.58
235,1.0
245,0.82
246,0.96
272,0.94
282,0.92
285,0.88
288,0.82
294,0.86
310,0.86
317,1.0
326,0.6
327,0.78
334,0.9
348,0.92
355,0.78
370,1.0
395,0.66
408,0.98
443,0.9
448,0.94
453,0.86
468,1.0
490,0.92
519,0.98
538,0.96
545,0.88
552,0.7
569,0.9
594,0.92
597,0.92
598,0.96
599,0.58
608,0.94
622,0.92
625,0.88
650,1.0
661,0.66
665,0.92
669,0.74
670,0.92
672,1.0
684,0.9
686,0.94
723,0.96
724,0.96
731,0.88
732,0.92
737,0.78
773,0.46
775,0.98
822,0.8
825,0.98
830,0.94
839,0.96
840,0.78
857,0.9
861,0.98
870,0.94
909,0.94
927,1.0
931,0.92
941,0.84
948,0.52
949,0.9
960,0.96
961,0.72
969,0.8
973,0.86
977,0.56
981,0.66
992,1.0
1012,0.98
1016,1.0
1033,0.98
1036,0.52
1040,0.92
1050,0.9
1054,0.96
1067,0.9
1069,0.96
1109,0.9
1135,0.92
1158,0.82
1159,0.9
1170,0.66
1175,0.6
1185,0.94
1186,0.96
1190,0.94
1216,0.7
1222,0.76
1239,1.0
1248,0.9
1257,0.98
1265,1.0
1266,0.7
1268,0.38
1274,0.86
1293,0.42
1302,0.86
1304,0.94
1310,0.96
1317,0.92
1319,0.98
1321,0.84
1329,0.8
1363,0.9
1369,0.98
1376,0.82
1378,1.0
1380,0.88
1388,0.96
1399,1.0
1401,0.8
1414,0.68
1416,0.68
1426,0.96
1469,0.88
1502,0.82
1537,0.9
1555,0.9
1558,0.84
1589,0.88
1596,0.98
1614,0.72
1630,0.98
1637,0.62
1643,0.98
1651,0.52
1654,0.88
1672,0.98
1681,0.82
1731,1.0
1732,0.96
1737,0.58
1738,0.9
1756,0.88
1777,0.9
1787,0.9
1788,0.96
1830,0.78
1859,0.98
1871,0.98
1889,0.92
1892,0.8
1925,0.76
1954,0.62
1955,0.98
1960,0.76
1977,0.88
1978,1.0
1998,0.8
2009,1.0
2031,0.9
2047,0.82
2053,0.86
2056,0.54
2077,0.94
2095,0.98
2132,0.82
2135,0.9
2155,0.96
2179,0.64
2197,0.96
2201,0.66
2216,0.88
2221,0.98
2222,0.82
2254,0.8
2260,0.92
2265,0.78
2285,0.78
2308,1.0
2349,1.0
2377,0.92
2378,0.94
2383,0.8
2398,0.74
2399,0.92
2419,0.9
2425,0.84
2432,0.92
2481,1.0
2495,0.76
2520,0.72
2526,0.66
2558,0.88
2562,0.82
2566,0.9
2580,0.08
2584,0.86
2602,0.5
2625,0.86
2626,0.72
2655,0.56
2661,0.62
2681,0.58
2683,0.2
2692,0.94
2694,0.56
2700,0.92
2727,0.86
2734,1.0
2752,0.98
2753,0.98
2755,0.88
2757,0.48
2766,0.84
2769,1.0
2773,0.82
2779,0.68
2792,0.78
2810,0.82
2813,0.76
2827,0.86
2829,0.92
2830,0.96
2833,0.66
2847,0.46
2848,1.0
2859,0.96
2879,0.96
2895,0.86
2905,0.68
2914,0.94
2940,0.9
2953,0.84
2954,0.96
2977,0.8
3007,0.82
3012,0.4
3015,0.96
3021,0.64
3037,0.84
3040,0.96
3050,0.82
3061,0.86
3087,1.0
3090,0.98
3094,0.94
3106,0.94
3123,0.54
3148,1.0
3160,0.74
3171,1.0
3174,0.88
3186,0.86
3194,0.98
3209,0.8
3210,1.0
3218,0.92
3219,0.94
3223,0.76
3226,0.92
3238,0.64
3280,0.76
3299,0.64
3337,0.76
3361,0.9
3372,0.9
3373,1.0
3410,0.82
3427,0.76
3430,0.6
3443,0.46
3459,0.54
3468,0.78
3506,0.82
3526,0.82
3528,0.98
3562,0.68
3579,0.74
3596,0.88
3615,0.46
3625,0.76
3631,0.74
3635,0.94
3641,0.96
3665,0.9
3675,0.88
3688,0.76
3693,0.92
3702,0.98
3707,0.94
3711,0.82
3734,0.94
3736,0.94
3741,0.9
3751,1.0
3764,0.94
3768,0.96
3773,0.76
3776,0.52
3835,0.8
3837,0.98
3846,0.9
3854,0.28
3857,0.88
3869,0.84
3880,0.9
3886,0.88
3891,0.92
3892,0.72
3951,0.78
3969,1.0
3986,0.96
4006,0.98
4008,0.9
4009,0.92
4024,0.94
4025,1.0
4027,0.8
4028,0.84
4032,0.98
4038,0.78
4039,0.96
4078,0.74
4093,0.92
4144,0.94
4150,0.94
4188,1.0
4191,0.88
4209,1.0
4291,0.58
4317,0.82
4338,1.0
4345,0.72
4347,0.8
4349,0.8
4353,0.86
4359,0.68
4369,1.0
4373,0.82
4395,0.64
4404,0.68
4410,0.98
4428,1.0
4442,0.98
4455,0.72
4456,0.94
4485,0.96
4489,1.0
4548,0.84
4565,0.62
4570,0.8
4576,0.98
4596,0.9
4597,0.98
4611,0.82
4612,0.9
4613,0.94
4652,0.74
4659,0.92
4663,0.72
4669,0.84
4670,0.88
4673,0.52
4677,0.98
4680,0.52
4706,0.88
4724,0.66
4766,0.86
4773,0.7
4777,0.86
4782,0.88
4811,0.98
4812,0.94
4818,0.96
4848,0.94
4859,0.98
4884,0.66
4898,1.0
4900,0.86
4915,0.98
4937,0.98
4946,1.0
4957,0.78
4960,0.96
4985,0.94
4988,0.64
4991,0.74
4992,0.62
4993,0.56
4994,0.42
4995,0.3
4996,0.16
4997,0.56
4998,0.48
4999,0.62
