grasp_index,success_rate
10,0.44
12,0.88
17,0.92
18,0.94
19,0.88
24,0.7
29,0.76
36,1.0
41,0.74
45,1.0
46,0.44
53,1.0
66,0.98
78,0.64
84,1.0
85,0.92
98,0.98
123,0.9
124,0.68
128,0.88
129,0.46
143,0.98
145,0.78
149,0.96
152,0.74
154,0.28
171,0.22
179,0.92
186,0.48
189,0.3
197,0.52
200,0.98
202,0.94
203,0.88
208,0.96
215,0.56
217,0.62
223,0.92
229,0.8
230,0.94
232,0.54
236,0.76
237,0.98
263,1.0
289,1.0
299,0.64
301,0.54
308,0.82
312,0.72
315,0.38
319,0.34
320,0.88
322,0.46
325,0.9
334,0.4
346,0.66
356,0.88
359,0.9
362,1.0
367,0.98
370,0.98
371,0.74
372,0.94
402,0.86
411,0.46
423,0.94
424,0.82
438,0.9
442,0.92
457,0.74
480,0.96
484,0.96
496,0.8
525,0.88
537,0.82
543,0.6
549,0.3
558,1.0
587,1.0
600,1.0
602,0.58
606,1.0
616,0.86
617,0.9
619,0.8
620,0.92
633,1.0
652,0.48
658,0.42
664,0.62
670,0.98
678,0.84
696,0.86
700,1.0
706,0.58
707,0.74
715,0.44
721,0.98
726,1.0
731,0.86
739,0.96
761,0.86
772,0.84
785,0.68
786,0.94
801,0.86
822,0.86
829,0.68
836,0.76
847,0.96
862,0.72
863,1.0
877,0.62
884,0.96
891,1.0
893,0.58
894,0.98
896,0.86
900,1.0
904,0.94
906,0.76
907,0.98
912,0.82
915,0.98
916,0.88
920,0.76
921,1.0
929,0.96
932,0.44
934,0.06
935,1.0
939,1.0
941,0.98
947,0.5
948,0.68
956,0.96
962,0.92
984,0.88
986,0.88
997,0.88
1000,0.94
1003,0.8
1006,0.74
1007,0.72
1037,0.98
1041,0.7
1042,0.84
1044,0.84
1049,0.6
1052,0.58
1065,0.7
1073,0.9
1078,0.72
1094,1.0
1114,0.46
1116,0.94
1122,0.62
1132,1.0
1149,0.56
1154,0.64
1160,0.32
1170,0.8
1181,0.98
1193,0.92
1195,0.72
1209,0.36
1221,0.84
1225,0.66
1234,1.0
1235,0.5
1244,0.92
1246,0.86
1254,0.54
1267,0.78
1278,0.68
1284,0.4
1287,0.9
1289,0.88
1291,0.96
1292,0.86
1319,0.48
1322,0.52
1329,0.36
1333,0.8
1343,0.98
1352,0.94
1357,0.72
1359,0.98
1360,0.62
1362,0.78
1372,0.7
1374,0.78
1377,1.0
1401,0.58
1407,0.46
1425,0.3
1451,0.76
1475,1.0
1477,0.82
1478,0.84
1480,1.0
1481,1.0
1487,0.84
1490,0.56
1495,0.9
1526,0.58
1530,0.76
1536,0.4
1539,0.58
1580,0.66
1585,0.74
1586,0.96
1603,0.54
1604,0.68
1605,0.84
1606,0.76
1616,0.72
1637,0.54
1641,1.0
1649,0.7
1656,0.44
1657,0.9
1658,0.74
1659,0.92
1660,0.84
1673,0.56
1674,0.72
1677,0.44
1681,0.74
1683,0.94
1684,0.46
1685,0.78
1694,0.34
1698,0.98
1700,0.52
1703,0.62
1704,0.5
1705,0.94
1707,0.76
1708,0.84
1709,0.86
1716,0.98
1722,1.0
1723,0.92
1724,0.8
1725,0.66
1731,0.86
1733,0.72
1734,0.88
1735,0.86
1736,0.94
1745,0.58
1747,0.72
1748,0.64
1751,0.26
1762,0.74
1766,0.96
1768,0.98
1769,0.8
1779,0.76
1789,1.0
1793,0.88
1810,0.88
1828,0.8
1830,0.84
1838,0.64
1840,0.86
1842,0.48
1844,0.98
1850,0.6
1855,0.78
1876,0.94
1881,0.26
1885,0.54
1892,0.78
1903,0.82
1905,0.94
1913,0.92
1925,0.74
1936,0.56
1957,0.94
1963,0.52
1968,0.92
1969,0.98
1970,1.0
1982,0.62
1994,0.66
2005,0.88
2008,0.84
2009,0.8
2012,0.56
2021,0.84
2022,0.98
2024,0.98
2038,1.0
2041,0.88
2046,1.0
2047,0.94
2049,0.92
2063,0.84
2067,0.78
2071,0.7
2076,0.9
2079,1.0
2083,0.8
2086,0.92
2090,0.66
2096,0.94
2102,0.94
2103,0.82
2130,0.98
2132,0.92
2135,0.5
2142,0.9
2143,0.84
2146,0.9
2147,0.94
2150,0.7
2152,0.96
2157,0.96
2158,0.9
2160,0.52
2163,0.16
2164,0.78
2167,0.7
2172,0.54
2174,0.82
2184,0.92
2187,0.46
2193,0.44
2195,0.82
2202,0.9
2216,0.72
2222,0.6
2226,0.98
2242,0.68
2244,1.0
2250,0.54
2254,0.8
2255,0.88
2258,0.78
2261,0.36
2264,0.86
2272,0.66
2278,0.58
2279,0.68
2309,0.78
2313,0.92
2314,0.96
2316,0.78
2319,1.0
2324,0.6
2342,0.98
2343,0.84
2347,1.0
2349,0.7
2352,1.0
2355,0.68
2356,0.84
2357,0.9
2367,0.68
2368,0.72
2375,0.66
2381,1.0
2387,0.94
2392,0.98
2408,0.9
2410,0.96
2411,0.6
2413,0.62
2415,1.0
2423,1.0
2424,0.82
2428,0.98
2433,0.96
2440,0.76
2448,0.94
2452,0.98
2454,0.68
2457,0.92
2464,0.74
2467,0.94
2471,0.46
2476,0.98
2479,0.72
2483,1.0
2494,1.0
2500,0.86
2508,0.76
2540,0.98
2550,0.94
2552,0.88
2554,0.7
2556,0.94
2558,0.82
2560,0.64
2563,0.78
2569,0.9
2570,0.86
2573,0.46
2575,1.0
2577,0.16
2578,0.48
2581,0.96
2592,0.56
2593,0.78
2595,0.76
2601,0.78
2614,0.94
2619,0.96
2621,0.56
2623,0.48
2626,0.58
2629,0.7
2636,0.32
2640,0.98
2641,0.78
2643,1.0
2645,0.64
2647,0.72
2650,0.98
2651,0.72
2652,0.34
2658,0.92
2667,0.68
2687,0.96
2690,0.98
2691,0.82
2699,0.58
2705,0.8
2706,0.92
2721,0.76
2730,1.0
2733,0.74
2734,0.54
2737,0.64
2742,0.84
2744,0.92
2759,0.76
2764,0.88
2769,0.98
2778,0.58
2783,0.92
2789,1.0
2797,0.88
2800,0.8
2807,0.66
2814,0.98
2823,0.96
2825,0.56
2836,0.58
2837,0.5
2840,0.96
2841,0.98
2846,0.82
2848,0.72
2851,0.92
2855,1.0
2868,1.0
2869,0.54
2879,0.62
2883,0.86
2884,0.84
2889,0.66
2890,0.94
2907,0.32
2910,0.82
2918,0.56
2921,0.92
2925,0.54
2928,0.88
2929,1.0
2936,0.56
2941,0.6
2943,0.96
2944,0.9
2951,0.62
2953,0.92
2968,0.72
2986,0.6
2987,0.62
2991,0.56
2992,0.94
2993,0.74
2994,0.66
2998,0.5
3005,1.0
3007,0.92
3010,0.92
3039,0.96
3040,0.94
3045,0.44
3053,0.7
3054,0.24
3055,0.76
3080,0.96
3082,0.8
3089,0.3
3091,1.0
3092,0.82
3094,0.58
3099,0.94
3102,0.96
3105,0.82
3106,0.86
3107,0.34
3108,0.98
3137,0.72
3140,0.9
3141,0.9
3155,0.84
3161,1.0
3164,0.9
3166,0.94
3170,0.68
3174,1.0
3175,0.7
3178,0.98
3181,0.5
3185,0.72
3201,0.96
3207,0.6
3211,0.38
3232,0.54
3239,0.92
3240,0.74
3241,0.34
3248,0.96
3249,0.6
3256,0.74
3258,1.0
3269,0.82
3292,0.92
3293,0.54
3294,0.78
3299,1.0
3322,0.92
3331,0.24
3332,0.86
3342,0.82
3347,1.0
3363,0.72
3365,0.96
3371,0.88
3381,0.2
3383,0.52
3388,0.96
3389,1.0
3393,0.16
3395,1.0
3409,0.82
3424,0.88
3427,1.0
3428,0.96
3433,0.7
3437,0.86
3445,0.8
3452,0.22
3458,0.82
3461,0.92
3470,0.44
3471,0.78
3481,0.94
3483,0.38
3485,0.98
3487,0.76
3489,0.76
3493,0.54
3495,1.0
3501,0.62
3506,0.9
3511,0.72
3515,0.98
3526,0.4
3531,0.88
3539,0.62
3541,0.86
3583,0.18
3584,0.74
3593,0.76
3597,0.68
3605,0.88
3615,0.98
3623,0.64
3642,0.12
3664,0.94
3665,0.6
3667,0.38
3670,0.9
3675,0.8
3682,0.36
3686,0.78
3688,0.78
3690,0.58
3692,0.6
3701,0.96
3702,0.76
3705,1.0
3710,0.96
3714,0.48
3721,0.78
3731,0.9
3733,0.82
3737,0.72
3743,0.24
3761,0.6
3769,0.76
3773,0.46
3782,0.58
3787,0.36
3794,0.94
3800,0.9
3803,0.3
3817,0.9
3844,0.78
3846,1.0
3858,0.74
3860,0.88
3861,1.0
3866,0.92
3871,0.8
3880,0.2
3883,0.7
3884,0.1
3885,0.96
3890,0.98
3893,0.68
3900,0.86
3906,0.96
3911,0.68
3919,0.98
3929,1.0
3962,0.34
3963,0.94
3965,0.42
3966,0.68
3970,0.64
3980,0.88
3988,1.0
3993,0.94
4006,0.56
4014,0.74
4031,0.92
4034,0.86
4045,0.8
4053,0.72
4066,0.7
4072,0.86
4090,0.9
4093,0.94
4094,0.68
4096,0.78
4097,0.44
4100,0.32
4106,0.8
4112,1.0
4117,0.76
4126,0.16
4141,0.58
4145,0.94
4157,0.62
4181,0.8
4182,0.98
4196,1.0
4200,0.2
4201,0.36
4205,0.2
4209,0.96
4210,0.48
4213,0.92
4226,0.6
4229,0.92
4230,0.82
4234,0.38
4258,0.28
4259,0.76
4266,0.88
4268,0.88
4270,0.88
4274,0.82
4280,0.5
4282,0.18
4283,0.72
4291,0.88
4293,0.72
4302,0.8
4305,0.64
4315,0.08
4317,0.78
4318,0.28
4339,0.78
4341,0.46
4342,0.66
4343,0.84
4351,0.38
4357,0.78
4358,0.6
4362,0.88
4370,0.96
4388,0.8
4394,0.7
4401,0.86
4404,0.78
4407,0.98
4414,1.0
4428,0.94
4431,0.72
4443,0.72
4449,0.86
4459,1.0
4462,0.86
4472,0.6
4473,0.52
4478,0.78
4479,0.8
4481,0.96
4492,0.1
4501,0.5
4505,0.94
4508,0.7
4513,0.78
4521,0.78
4522,0.82
4527,0.2
4540,0.96
4544,0.96
4549,0.4
4569,0.98
4570,0.74
4573,0.92
4577,0.86
4580,0.8
4583,0.86
4585,0.86
4598,0.6
4600,0.48
4609,0.76
4620,0.32
4634,0.92
4638,0.0
4644,0.94
4647,0.66
4651,0.88
4659,0.6
4664,0.72
4678,0.92
4681,0.46
4692,0.54
4693,0.38
4700,0.7
4716,0.82
4720,0.86
4724,0.48
4745,0.72
4746,0.98
4749,0.28
4753,1.0
4756,0.34
