grasp_index,success_rate
0,0.8
13,0.96
16,0.76
38,0.84
50,0.92
51,0.98
54,0.76
84,0.74
86,1.0
100,0.7
107,1.0
109,0.98
114,0.76
117,0.78
126,0.46
128,0.7
129,0.8
131,0.56
132,0.82
153,0.86
175,0.98
177,0.98
199,0.88
231,1.0
232,1.0
251,0.5
254,0.98
270,0.78
272,0.84
292,0.74
296,0.58
332,1.0
354,0.94
373,0.76
375,0.46
384,0.6
389,0.96
393,0.86
394,0.64
419,0.68
431,0.44
435,1.0
450,0.46
453,0.98
461,0.92
494,0.88
524,0.76
526,0.6
554,0.82
555,0.96
561,0.7
563,0.92
571,0.9
638,1.0
641,0.82
655,0.82
663,0.96
674,0.9
675,0.72
686,0.54
689,0.7
695,1.0
704,0.98
710,1.0
712,0.92
726,0.68
727,0.72
734,0.98
746,0.84
747,0.58
748,1.0
750,0.72
757,0.5
799,0.96
808,0.98
841,0.82
848,0.88
851,0.76
852,0.9
863,0.5
871,0.74
914,1.0
923,0.78
925,0.68
928,0.86
929,0.9
931,0.78
950,0.9
957,0.84
963,0.82
975,0.86
983,1.0
984,0.82
991,1.0
1042,0.68
1046,0.9
1054,0.62
1065,0.98
1104,1.0
1105,0.6
1111,0.98
1131,0.88
1133,0.88
1136,1.0
1144,0.64
1145,0.88
1155,0.94
1157,0.9
1163,0.92
1166,0.8
1185,0.98
1188,0.46
1195,0.7
1229,0.92
1232,0.84
1246,1.0
1247,0.68
1252,1.0
1254,0.7
1267,0.8
1269,0.78
1281,0.98
1284,0.68
1293,0.96
1296,0.78
1298,0.94
1312,0.84
1328,0.92
1343,0.98
1354,0.66
1363,0.36
1365,0.94
1374,0.86
1392,1.0
1394,0.82
1416,0.86
1427,0.76
1440,0.68
1444,0.92
1454,0.94
1470,0.92
1471,0.8
1538,0.74
1559,0.86
1565,0.98
1567,1.0
1568,0.34
1571,0.46
1577,0.98
1582,1.0
1600,0.68
1606,0.98
1647,0.88
1670,0.92
1731,0.92
1736,0.98
1738,0.62
1741,0.82
1751,0.6
1759,0.86
1760,1.0
1763,0.86
1765,0.9
1777,0.98
1780,0.56
1792,0.94
1811,0.66
1828,0.5
1851,1.0
1859,0.98
1861,1.0
1871,1.0
1905,0.9
1919,1.0
1935,0.72
2002,0.94
2008,0.92
2012,0.96
2013,0.96
2039,0.82
2044,0.76
2061,0.86
2093,0.98
2099,0.68
2100,0.96
2104,0.92
2110,0.86
2168,0.94
2175,0.6
2185,0.98
2209,1.0
2227,0.98
2246,0.98
2250,0.92
2255,0.88
2279,0.92
2325,0.98
2327,0.98
2338,0.66
2358,0.92
2385,1.0
2449,1.0
2452,0.86
2456,1.0
2462,0.9
2463,0.78
2482,0.72
2483,0.76
2489,0.82
2504,0.96
2517,1.0
2520,0.98
2532,0.62
2545,0.72
2552,0.84
2554,0.98
2558,0.82
2593,1.0
2598,1.0
2599,0.72
2627,0.74
2633,0.98
2655,1.0
2664,0.46
2673,0.82
2677,0.9
2678,0.94
2699,1.0
2723,0.86
2724,0.9
2756,0.94
2761,0.84
2768,0.84
2775,0.5
2781,0.92
2795,0.5
2799,0.54
2816,0.96
2837,0.86
2838,0.8
2860,0.94
2870,0.96
2877,0.86
2888,0.92
2897,0.94
2901,0.62
2904,0.74
2914,0.74
2917,0.96
2922,0.66
2940,0.94
2968,0.96
2969,0.68
2976,0.66
2984,0.72
3022,0.8
3025,1.0
3031,0.82
3075,1.0
3085,0.82
3100,0.96
3110,1.0
3112,1.0
3133,1.0
3159,0.98
3169,0.94
3200,0.9
3230,0.82
3232,1.0
3238,1.0
3257,0.92
3270,0.88
3285,0.94
3291,0.88
3318,1.0
3349,1.0
3367,0.94
3376,0.96
3380,0.8
3384,0.8
3392,0.58
3394,0.98
3402,0.98
3412,0.82
3421,1.0
3422,0.72
3431,0.98
3437,0.92
3443,1.0
3457,0.88
3470,0.96
3476,0.96
3478,1.0
3486,1.0
3498,1.0
3508,1.0
3513,0.98
3518,0.78
3520,0.96
3522,0.98
3553,0.92
3574,1.0
3583,0.64
3596,0.82
3607,0.94
3608,1.0
3609,0.84
3615,0.96
3662,1.0
3671,0.98
3672,0.92
3696,0.88
3706,0.84
3751,0.98
3753,0.86
3758,1.0
3761,1.0
3772,0.78
3794,0.52
3818,0.92
3864,0.98
3873,0.98
3893,0.98
3899,0.56
3915,0.82
3929,0.88
3959,0.98
3966,0.9
3972,0.94
3992,0.84
3995,1.0
4003,0.98
4019,0.76
4046,0.58
4048,0.76
4093,0.76
4098,0.78
4128,0.98
4129,0.94
4135,0.96
4166,1.0
4226,0.98
4272,0.92
4293,0.86
4311,0.84
4337,0.96
4362,0.96
4388,0.88
4400,0.84
4406,0.84
4448,1.0
4474,0.9
4496,0.74
4497,0.86
4498,0.96
4522,0.92
4525,0.74
4537,0.98
4550,0.56
4569,0.98
4588,0.78
4591,0.98
4611,0.78
4623,0.96
4633,0.78
4654,1.0
4743,1.0
4750,0.9
4752,1.0
4754,0.84
4773,0.98
4774,0.6
4781,0.86
4831,0.76
4879,0.94
4898,0.96
4919,0.72
4942,0.96
4951,0.94
4952,0.84
4956,0.88
4965,0.92
4989,0.9
4996,1.0
4997,0.7
4998,0.0
4999,0.24
