grasp_index,success_rate
2,0.96
9,0.88
13,0.9
14,0.7
17,0.92
24,1.0
29,0.9
34,1.0
40,0.86
42,1.0
45,1.0
61,0.36
68,0.86
99,0.94
106,1.0
109,1.0
110,0.36
116,0.92
150,0.96
152,0.94
175,0.96
187,0.98
189,0.56
198,0.66
211,0.9
222,0.74
227,0.6
235,0.8
237,0.6
245,0.82
250,0.9
252,0.92
256,0.88
259,0.54
261,0.98
279,0.8
295,1.0
298,0.76
309,0.9
318,0.72
324,1.0
339,0.68
347,0.96
350,0.88
358,1.0
363,0.98
364,0.78
366,1.0
369,1.0
372,1.0
382,0.4
392,1.0
401,1.0
413,0.8
421,0.82
431,0.9
441,0.5
450,0.96
454,1.0
465,0.96
476,1.0
479,0.98
485,1.0
494,0.84
496,1.0
497,0.86
511,0.42
512,0.78
516,0.22
526,0.86
528,0.92
538,0.98
543,0.96
550,0.98
554,1.0
559,1.0
573,0.86
581,0.94
600,0.42
601,0.88
605,1.0
614,0.28
623,0.76
627,0.96
632,0.9
638,0.8
645,0.84
655,0.74
656,0.74
663,0.6
671,1.0
674,0.72
697,0.94
709,0.98
721,0.74
722,0.94
725,0.96
727,0.98
731,0.92
733,0.9
738,0.94
743,0.9
747,1.0
753,0.86
756,0.42
765,0.98
769,0.26
777,1.0
789,1.0
806,0.72
829,1.0
831,0.98
834,0.88
840,0.92
844,0.9
847,0.92
848,0.76
853,0.54
856,0.48
860,1.0
862,0.94
863,1.0
867,1.0
877,1.0
881,0.96
885,0.98
889,0.78
909,0.94
911,0.98
913,0.7
919,0.98
931,0.5
937,0.84
942,0.86
943,0.94
944,1.0
948,1.0
963,0.94
968,1.0
970,0.98
983,1.0
985,0.86
1001,0.78
1012,0.92
1015,0.88
1017,0.9
1019,0.98
1020,0.66
1024,0.74
1028,0.7
1037,0.78
1042,0.98
1043,1.0
1052,0.96
1054,0.88
1065,0.88
1078,1.0
1079,0.56
1080,0.94
1094,0.82
1104,0.92
1106,0.9
1116,0.94
1117,0.78
1138,0.64
1151,0.98
1156,0.96
1172,0.98
1178,0.54
1183,1.0
1193,0.94
1197,0.8
1199,0.76
1206,0.88
1208,0.92
1209,1.0
1210,1.0
1213,0.7
1220,0.26
1222,1.0
1225,0.9
1226,0.64
1232,0.9
1238,0.86
1241,0.9
1252,1.0
1260,0.96
1268,0.8
1272,0.9
1273,0.56
1274,0.9
1278,0.66
1303,1.0
1304,1.0
1308,0.98
1313,0.94
1316,0.98
1318,0.86
1333,0.96
1339,0.68
1354,1.0
1362,1.0
1380,0.58
1383,0.64
1407,0.84
1441,0.98
1447,0.78
1448,0.8
1450,0.62
1456,0.92
1461,0.96
1469,0.92
1473,0.96
1483,0.72
1488,0.9
1492,0.74
1500,0.76
1514,0.92
1515,0.98
1521,0.02
1538,0.7
1567,0.82
1571,0.78
1582,0.54
1589,0.88
1591,0.94
1602,1.0
1607,1.0
1609,0.82
1638,0.82
1648,0.9
1671,1.0
1672,0.74
1707,0.86
1716,0.76
1717,1.0
1721,0.98
1725,0.92
1739,0.3
1741,0.9
1747,1.0
1761,0.86
1769,1.0
1776,0.9
1777,0.66
1785,1.0
1792,1.0
1795,0.78
1808,0.84
1839,1.0
1841,0.7
1843,0.62
1845,0.8
1853,0.56
1866,0.96
1869,0.94
1882,1.0
1885,0.82
1931,0.9
1962,0.6
1973,0.78
1976,0.9
1985,0.76
1992,0.8
2015,1.0
2021,0.62
2026,0.94
2028,0.76
2039,0.64
2049,0.84
2055,0.88
2057,0.98
2061,0.74
2062,0.94
2076,0.94
2088,0.94
2106,0.62
2116,0.86
