grasp_index,success_rate
7,0.74
8,0.94
10,0.46
13,0.38
17,0.36
34,0.74
38,0.58
51,0.68
54,1.0
69,0.72
89,0.86
93,0.84
101,0.68
110,0.5
113,0.02
121,0.94
122,0.96
126,1.0
129,1.0
132,0.52
139,0.44
140,0.98
141,1.0
143,1.0
144,0.8
145,0.98
151,0.54
154,0.96
156,0.98
168,0.68
170,0.5
188,1.0
194,0.52
197,1.0
199,0.98
203,0.56
205,0.94
211,0.4
223,1.0
228,0.92
238,0.76
241,0.9
246,0.42
259,0.94
260,1.0
261,1.0
262,0.4
269,0.4
271,1.0
276,1.0
278,0.74
282,0.86
288,0.22
289,0.72
306,0.92
310,0.82
311,0.64
320,1.0
326,0.94
333,0.58
336,1.0
339,0.88
341,1.0
346,0.54
349,0.5
350,1.0
352,0.7
361,0.14
364,0.58
381,0.9
392,0.48
396,0.82
398,0.92
401,0.74
405,0.98
406,0.58
417,0.7
422,0.84
423,0.56
437,0.88
439,0.28
449,0.96
453,1.0
456,0.72
460,1.0
464,0.76
465,1.0
481,0.76
482,1.0
485,0.44
491,0.32
493,0.96
494,1.0
500,0.98
515,0.78
521,0.92
523,0.7
529,0.94
541,0.62
542,0.94
550,0.9
559,1.0
560,0.98
564,0.92
567,0.36
570,0.4
575,0.72
586,0.96
587,1.0
593,0.84
606,0.52
607,1.0
615,0.86
616,0.9
618,0.7
627,0.68
630,0.96
637,0.68
638,0.86
639,1.0
640,1.0
642,0.68
643,0.96
648,1.0
649,0.86
650,1.0
652,0.76
654,0.62
663,0.48
667,0.82
676,0.88
698,1.0
699,0.96
711,0.82
715,0.9
719,0.58
722,0.92
723,0.56
724,0.32
726,0.62
727,0.86
731,0.98
733,0.38
735,0.8
737,0.92
746,0.96
747,0.72
754,0.96
756,0.96
762,0.78
766,0.44
769,0.34
770,0.3
771,0.92
774,0.9
780,0.94
786,0.86
799,0.76
808,0.44
809,0.52
810,0.68
813,0.8
824,1.0
826,0.9
833,0.72
834,0.6
836,0.76
838,0.7
839,0.82
844,0.42
849,0.88
854,0.98
858,0.1
873,0.0
875,0.9
883,0.78
885,0.42
886,0.76
891,0.98
894,0.76
898,0.68
900,1.0
920,1.0
921,0.7
926,0.72
941,0.58
951,0.64
954,0.94
955,1.0
960,0.98
966,0.62
968,0.7
971,0.76
975,0.88
980,0.68
981,1.0
986,0.58
988,0.36
990,0.34
994,0.92
996,0.94
997,0.02
1024,0.62
1029,0.84
1038,0.78
1039,0.96
1048,1.0
1052,0.44
1059,0.94
1069,0.92
1075,0.64
1090,0.86
1091,1.0
1092,0.54
1094,1.0
1099,0.58
1100,1.0
1101,1.0
1102,1.0
1103,1.0
1116,1.0
1119,0.42
1129,1.0
1136,0.28
1138,0.32
1142,1.0
1146,0.64
1153,0.7
1170,0.28
1173,0.72
1174,0.52
1181,1.0
1185,1.0
1186,0.26
1194,0.7
1203,0.6
1207,0.6
1214,1.0
1217,0.8
1220,0.88
1222,0.34
1223,0.94
1230,0.34
1241,0.38
1243,0.9
1246,0.84
1253,0.6
1256,0.1
1257,0.98
1260,0.14
1261,0.64
1265,0.7
1270,0.8
1271,0.72
1276,1.0
1283,0.96
1286,1.0
1287,0.92
1288,0.5
1293,0.96
1295,0.72
1299,0.92
1322,0.88
1323,0.96
1326,0.74
1334,0.92
1335,0.64
1336,0.84
1341,0.94
1345,0.54
1349,0.52
1355,0.74
1359,0.96
1371,0.38
1387,0.64
1394,0.44
1395,1.0
1396,0.7
1397,0.34
1398,1.0
1399,0.64
1405,0.6
1409,0.5
1425,0.9
1436,0.9
1448,0.92
1449,1.0
1451,1.0
1456,0.94
1460,0.9
1462,1.0
1464,0.94
1465,0.26
1475,1.0
1478,0.4
1486,0.64
1489,0.98
1503,0.64
1504,0.84
1511,0.82
1529,0.96
1540,1.0
1545,0.98
1557,0.94
1558,0.92
1559,0.7
1561,0.98
1564,1.0
1572,0.78
1573,0.9
1578,0.78
1594,0.74
1598,0.9
1601,0.62
1603,1.0
1604,1.0
1605,1.0
1607,0.98
1608,0.88
1615,0.66
1616,0.9
1620,0.98
1623,1.0
1630,0.88
1637,0.94
1639,0.9
1644,0.84
1645,0.96
1646,0.92
1651,0.9
1653,0.88
1654,1.0
1655,1.0
1656,0.98
1657,0.82
1660,0.94
1661,0.92
1662,1.0
1664,0.92
1666,0.96
1672,0.88
1674,0.92
1678,0.82
1679,0.84
1680,1.0
1681,0.72
1683,0.92
1685,1.0
1690,0.98
1694,0.78
1695,0.98
1703,0.96
1716,0.88
1718,0.84
1720,0.98
1730,0.98
1737,1.0
1739,0.96
1741,0.94
1746,0.72
1748,1.0
1751,0.94
1758,1.0
1759,0.64
1763,0.98
1767,0.96
1768,0.74
1769,0.74
1770,0.72
1773,1.0
1774,0.96
1778,0.62
1779,0.98
1782,0.82
1797,1.0
1806,0.92
1807,0.58
1811,0.68
1812,0.94
1814,0.98
1816,0.92
1818,1.0
1819,0.98
1823,1.0
1825,1.0
1831,0.96
1844,0.82
1847,0.66
1848,1.0
1849,0.74
1850,0.92
1857,0.86
1859,0.68
1862,0.82
1866,0.8
1875,0.8
1880,0.9
1889,0.84
1890,0.94
1894,1.0
1897,1.0
1904,1.0
1906,0.74
1909,0.92
1910,1.0
1911,0.96
1933,0.9
1934,0.92
1938,1.0
1955,0.72
1967,1.0
1971,1.0
1973,1.0
1974,0.96
1976,0.98
1979,0.92
1981,1.0
1985,0.7
1986,1.0
1993,0.76
2002,0.96
2003,0.84
2004,0.96
2010,0.76
2012,1.0
2013,0.92
2016,1.0
2018,1.0
2020,0.84
2025,0.9
2026,1.0
2027,0.58
2032,1.0
2033,0.88
2035,0.98
2042,1.0
2044,0.98
2045,0.98
2046,0.84
2047,1.0
2048,0.96
2052,0.92
2054,0.98
2061,1.0
2062,0.84
2067,0.94
2068,0.92
2071,0.78
2075,0.76
2079,0.98
2083,0.98
2091,1.0
2092,0.74
2099,1.0
2105,1.0
2108,0.86
2112,0.76
2113,0.94
2116,0.94
2121,1.0
2122,1.0
2125,0.96
2129,1.0
2134,0.86
2136,0.66
2137,0.88
2155,0.86
2157,0.74
2160,1.0
